Digits,Number of Primes,Grand Master Primes,Master Primes,Grand Primes,Special Primes,Flip Primes,Grand Flip Primes,Special Flip Primes,Invert Primes,Grand Invert Primes,Special Invert Primes,Null Primes
2,2,0,0,0,0,1,0,0,0,0,0,0
3,2,1,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,1,0,0,0,0,0,0,0
5,5,1,0,0,0,1,0,0,0,0,0,0
6,7,0,1,0,1,0,0,0,0,1,0,0
7,13,0,1,0,0,0,1,3,1,1,0,0
8,23,0,1,3,1,1,0,0,1,3,0,2
9,43,2,2,1,0,1,3,3,1,4,0,4
10,75,1,1,7,3,1,4,0,2,9,0,14
11,137,3,5,9,0,3,6,3,3,18,0,27
12,255,5,6,24,2,6,19,0,3,20,0,65
13,464,4,14,32,0,7,28,12,7,47,0,138
14,872,6,16,75,5,18,42,0,16,87,0,290
15,1612,12,38,99,0,41,80,23,25,155,0,561
16,3030,9,64,229,1,63,184,0,45,263,0,1149
17,5709,23,84,407,0,104,359,30,62,464,0,2387
18,10749,29,172,777,6,147,655,0,133,891,0,4648
19,20390,57,295,1403,0,310,1155,80,201,1626,0,9310
20,38635,80,487,2683,13,588,2136,0,336,3021,0,18443
21,73586,173,856,4920,0,858,4112,126,622,5629,0,36454
22,140336,199,1501,9093,21,1545,7885,0,1060,10171,0,73007
23,268216,451,2753,16783,0,2804,14367,215,1912,19104,0,143338
24,513708,740,4973,31928,26,4953,26751,0,3278,35850,0,282248
25,985818,1094,8335,59598,0,8599,51696,402,5703,64840,0,560939
26,1894120,1806,15061,111653,58,15348,96643,0,10591,121395,0,1104840
