Digits,Number of Primes,Grand Primes,Master Primes,Special Primes,Flip Primes,Unique Flip Primes,Invert Primes,Unique Invert Primes,Null Primes
1,0,0,0,0,0,0,0,0,0
2,2,0,0,1,0,0,0,0,1
3,2,1,0,0,0,0,0,0,0
4,2,0,0,1,0,0,0,0,0
5,5,1,1,0,0,0,0,0,0
6,7,0,1,1,1,0,0,0,0
7,13,0,2,0,1,3,1,0,0
8,23,0,3,1,3,0,0,0,6
9,43,2,4,0,4,3,3,0,6
10,75,1,4,3,9,0,4,0,27
11,137,3,11,0,18,3,6,0,45
12,255,5,15,2,20,0,19,0,108
13,464,4,28,0,47,12,28,0,202
14,872,6,50,5,87,0,42,0,430
15,1612,12,104,0,155,23,80,0,759
16,3030,9,172,1,263,0,184,0,1582
17,5709,23,250,0,464,30,359,0,3201
18,10749,29,452,6,891,0,655,0,6173
19,20390,57,806,0,1626,80,1155,0,12116
